idx,date,code,company,title,target,opinion,analyst,broker
633622,2024-08-08,149950,아바텍,숫자가 보여주는 잠재력 아바텍(149950) 숫자가 보여주는 잠재력 2Q24 Review: OLED 매출 확대로 기대 이상의 수익성 기록 IT OLED는 이제 시작. 방향성에 주목,0,N/A,양승수,메리츠증권
633619,2024-08-08,053210,스카이라이프,어려운 업황을 따라간 실적 스카이라이프(053210) 어려운 업황을 따라간 실적 2Q24 Review: 영업적자 기록하며 시장 컨센서스 하회,5700,Hold,정지수,메리츠증권
633616,2024-08-08,010130,고려아연,"고려의 밸류업(Korea Zinc Value-Up) 고려아연(010130) 고려의 밸류업(Korea Zinc Value-Up) 4,000억원 자기주식취득 신탁계약 체결",0,N/A,장재혁,메리츠증권
633615,2024-08-08,032640,LG유플러스,비전은 좋으나 비용이 문제 LG유플러스(032640) 비전은 좋으나 비용이 문제 2Q24 Review: 시장 컨센서스 부합,11000,Hold,정지수,메리츠증권
633614,2024-08-08,068270,셀트리온,2Q24 Re: 하반기의 에피타이저 셀트리온(068270) 2Q24 Re: 하반기의 에피타이저 2Q24 Re: 하반기의 에피타이저,260000,Buy,장민환,하이투자증권
633613,2024-08-08,003490,대한항공,견조한 실적과 그렇지 못한 주가 대한항공(003490) 견조한 실적과 그렇지 못한 주가 견조한 실적과 그렇지 못한 주가,31000,Buy,배세호,하이투자증권
633612,2024-08-08,112040,위메이드,블록체인 게임에 대한 기대치를 현실화할 시점 위메이드(112040) 블록체인 게임에 대한 기대치를 현실화할 시점 블록체인 게임에 대한 기대치를 현실화할 시점,50000,Buy,윤예지,하이투자증권
633611,2024-08-08,293490,카카오게임즈,기대작은 25년도에 카카오게임즈(293490) 기대작은 25년도에 기대작은 25년도에,23000,Buy,윤예지,하이투자증권
633610,2024-08-07,120110,코오롱인더,"2024년 하반기, 펀더멘탈 개선된다! 코오롱인더(120110) 2024년 하반기, 펀더멘탈 개선된다! 글로벌 무역전쟁에 방어적인 장점 2024년 3분기 아라미드 증설 효과 기대",70000,Buy,황규원,유안타증권
633608,2024-08-07,090430,아모레퍼시픽,코스알엑스 살아나라! 아모레퍼시픽(090430) 코스알엑스 살아나라! 2Q24 Review: 잘못 본 것이라고 생각했던 영업이익,200000,Buy,이승은,유안타증권
633601,2024-08-07,017670,SK텔레콤,"높아지는 이익, 기대되는 AI SK텔레콤(017670) 높아지는 이익, 기대되는 AI 2Q24 Review: 끝나지 않는 비용 효율화",65000,Buy,이승웅,유안타증권
633600,2024-08-07,057050,현대홈쇼핑,2Q24 Review : 가치주로서의 매력 현대홈쇼핑(057050) 2Q24 Review : 가치주로서의 매력 2Q24 Review,72000,Buy,이진협,한화투자증권
633599,2024-08-07,020000,한섬,2Q24 Review : 하반기 턴어라운드 전망 한섬(020000) 2Q24 Review : 하반기 턴어라운드 전망 2Q24 Review,28000,Buy,이진협,한화투자증권
633597,2024-08-07,066970,엘앤에프,주가도 업황도 저점 통과 중 엘앤에프(066970) 주가도 업황도 저점 통과 중 2분기: 환입에도 불구하고 대규모 적자 지속,220000,Buy,-,한화투자증권
633595,2024-08-07,181710,NHN,어려운 업황속에서 이익 개선세 확인 NHN(181710) 어려운 업황속에서 이익 개선세 확인 2Q24 실적은 영업이익 컨센서스 상회,30000,Buy,김소혜,한화투자증권
633594,2024-08-07,066570,LG전자,NDR 후기: 질문의 결이 달라짐 LG전자(066570) NDR 후기: 질문의 결이 달라짐 NDR 후기: 질문의 결이 달라짐,150000,Buy,"고의영,손우성",하이투자증권
633593,2024-08-07,000660,SK하이닉스,적어도 단기적으로는 주가 추가 급락 가능성은 낮은 듯 SK하이닉스(000660) 적어도 단기적으로는 주가 추가 급락 가능성은 낮은 듯 적어도 단기적으로는 주가 추가 급락 가능성은 낮은 듯,181000,Hold,송명섭,하이투자증권
633592,2024-08-07,036570,엔씨소프트,체질 개선에는 시간이 걸린다 엔씨소프트(036570) 체질 개선에는 시간이 걸린다 체질 개선에는 시간이 걸린다,190000,N/A,윤예지,하이투자증권
633590,2024-08-07,005930,삼성전자,추세 하락 이전에 주가 반등 가능할 듯 삼성전자(005930) 추세 하락 이전에 주가 반등 가능할 듯 추세 하락 이전에 주가 반등 가능할 듯,87000,Buy,송명섭,하이투자증권
633587,2024-08-07,214320,이노션,어려운 광고 업황을 딛고 일어선 실적 이노션(214320) 어려운 광고 업황을 딛고 일어선 실적 2Q24 Review: 시장 컨센서스 부합,29700,Buy,정지수,메리츠증권
633581,2024-08-07,181710,NHN,트레이딩 유효한 구간 NHN(181710) 트레이딩 유효한 구간 적자 사업부 손실 마무리 단계 진입,24000,Hold,이효진,메리츠증권
633578,2024-08-06,229640,LS에코에너지,희토류&해저케이블 성장엔진 쌍두마차 LS에코에너지(229640) 희토류&해저케이블 성장엔진 쌍두마차 희토류&해저케이블 성장엔진 쌍두마차,0,투자의견없음,성종화,LS증권
633560,2024-08-05,010140,삼성중공업,2Q24 NDR 후기 삼성중공업(010140) 2Q24 NDR 후기 2024년 실적 가이던스를 상회할 전망 2분기에 시작된 컨테이너선 발주 흐름은 지속될 개연성,0,N/A,배기연,메리츠증권
633556,2024-08-05,000880,한화,"별도손익 부진했으나, 주가 매력도는 높음 한화(000880) 별도손익 부진했으나, 주가 매력도는 높음 별도손익 부진했으나, 주가 매력도는 높음",39000,N/A,최관순,SK증권
633555,2024-08-05,139130,DGB금융지주,NDR 후기: 저점을 지나는 중 DGB금융지주(139130) NDR 후기: 저점을 지나는 중 NDR 후기: 저점을 지나는 중,9400,매수,설용진,SK증권
633539,2024-08-05,031430,신세계인터내셔날,"어뮤즈 인수 관련 코멘트 신세계인터내셔날(031430) 어뮤즈 인수 관련 코멘트 신세계인터내셔날, 어뮤즈 인수 공시",21000,Buy,이진협,한화투자증권
633537,2024-08-05,011780,금호석유,"2Q24 컨센서스 29% 상회, 타이어 견조한 업황 지속 금호석유(011780) 2Q24 컨센서스 29% 상회, 타이어 견조한 업황 지속 타이어 업황 호조 영향",170000,Buy,윤용식,한화투자증권
633535,2024-08-05,069260,TKG휴켐스,"2Q24 Review: 컨센서스 부합, 하반기 반등을 기대 TKG휴켐스(069260) 2Q24 Review: 컨센서스 부합, 하반기 반등을 기대 2Q24 암모니아 가격 상승 영향",24000,Buy,윤용식,한화투자증권
633530,2024-08-05,012750,에스원,AI GOP 수혜 및 주주환원정책 확대 에스원(012750) AI GOP 수혜 및 주주환원정책 확대 AI GOP 수혜 및 주주환원정책 확대,75000,Buy,이상헌,하이투자증권
633529,2024-08-05,003570,SNT다이내믹스,실적 개선 및 K2 전차 변속기 국산화 성장성 SNT다이내믹스(003570) 실적 개선 및 K2 전차 변속기 국산화 성장성 실적 개선 및 K2 전차 변속기 국산화 성장성,0,nr,이상헌,하이투자증권
633528,2024-08-05,091810,티웨이항공,티웨이항공은 소노에어가 될 수 있을까? 티웨이항공(091810) 티웨이항공은 소노에어가 될 수 있을까? 티웨이항공은 소노에어가 될 수 있을까?,3700,Buy,배세호,하이투자증권
633526,2024-08-05,004800,효성,효성티앤에스의 실적호조로 고배당 가능할 듯 효성(004800) 효성티앤에스의 실적호조로 고배당 가능할 듯 효성티앤에스의 실적호조로 고배당 가능할 듯,60000,Buy,이상헌,하이투자증권
633525,2024-08-02,375500,DL이앤씨,2Q24 Review: 둔화된 이익 체력 DL이앤씨(375500) 2Q24 Review: 둔화된 이익 체력 2Q24 Review: 둔화된 이익 체력,42000,Buy,김세련,LS증권
633524,2024-08-02,095340,ISC,2Q24 Review: 추정치 및 컨센서스 부합 ISC(095340) 2Q24 Review: 추정치 및 컨센서스 부합 2Q24 Review: 추정치 및 컨센서스 부합,68000,Buy,차용호,LS증권
633520,2024-08-02,028670,팬오션,2Q24 Review: 고잉메리호 팬오션(028670) 2Q24 Review: 고잉메리호 2Q24 Review: 고잉메리호,6500,Buy,이재혁,LS증권
633518,2024-08-02,090460,비에이치,견고한 FPCB 1st 벤더 위상 비에이치(090460) 견고한 FPCB 1st 벤더 위상 견고한 FPCB 1st 벤더 위상,31000,Buy,김광수,LS증권
633511,2024-08-02,001510,SK증권,"이익은 점진적 개선, 배터리 부진은 장기화 SK증권(001510) 이익은 점진적 개선, 배터리 부진은 장기화 이익은 점진적 개선, 배터리 부진은 장기화",140000,매수,김도현,SK증권
