idx,date,code,company,title,target,opinion,analyst,broker,price_at,price_h,ret_6m,mkt_ret_6m,excess_6m,target_acc,target_hit,upside_at_pub,acc180,acc180,acc365
646044,2026-01-26,005380,현대차,가치의 이해보다 상황에 대한 판단이 우선 현대차(005380) 가치의 이해보다 상황에 대한 판단이 우선 가치의 이해보다 상황에 대한 판단이 우선,600000,Buy,김용민,유안타증권,492500.0,401000.0,-0.1858,0.3518,-0.5375,0.6683,0,0.2183,0.6683,0.6683,
646042,2026-01-26,009150,삼성전기,4Q25 Review: 서버 수요 전환과 계절성 약화 삼성전기(009150) 4Q25 Review: 서버 수요 전환과 계절성 약화 4Q25 Review: 서버 수요 전환과 계절성 약화,330000,Buy,고선영,유안타증권,275000.0,1326000.0,3.8218,0.3518,3.4701,0,1,0.2,0,0,
646036,2026-01-26,009150,삼성전기,이상 징후 없는 구조적 체질 개선 삼성전기(009150) 이상 징후 없는 구조적 체질 개선 이상 징후 없는 구조적 체질 개선,350000,Buy,양승수,메리츠증권,275000.0,1326000.0,3.8218,0.3518,3.4701,0,1,0.2727,0,0,
646031,2026-01-26,028050,삼성E&A,"4Q25 Review: New Energy, New Valuation? 삼성E&A(028050) 4Q25 Review: New Energy, New Valuation? 4Q25 Review: New Energy, New Valuation?",41000,Buy,문경원,메리츠증권,28850.0,47600.0,0.6499,0.3518,0.2982,0.839,1,0.4211,0.839,0.839,
646029,2026-01-26,009150,삼성전기,4Q도 좋고 1Q는 더 좋다! 삼성전기(009150) 4Q도 좋고 1Q는 더 좋다! 4Q도 좋고 1Q는 더 좋다!,350000,Buy,"박강호,서지원",대신증권,275000.0,1326000.0,3.8218,0.3518,3.4701,0,1,0.2727,0,0,
646021,2026-01-26,009150,삼성전기,일곱 가지 성장동력 삼성전기(009150) 일곱 가지 성장동력 일곱 가지 성장동력,410000,매수,박형우,SK증권,275000.0,1326000.0,3.8218,0.3518,3.4701,0,1,0.4909,0,0,
646019,2026-01-26,009150,삼성전기,"4분기 기대 이상. 26년도 AI, 전장으로 성장 삼성전기(009150) 4분기 기대 이상. 26년도 AI, 전장으로 성장 4분기 기대 이상. 26년도 AI, 전장으로 성장",330000,매수,김운호,IBK투자증권,275000.0,1326000.0,3.8218,0.3518,3.4701,0,1,0.2,0,0,
646016,2026-01-26,376300,디어유,컨센서스 상회 예상 디어유(376300) 컨센서스 상회 예상 컨센서스 상회 예상,52000,매수,김유혁,IBK투자증권,36800.0,20050.0,-0.4552,0.3518,-0.8069,0.3856,0,0.413,0.3856,0.3856,
646015,2026-01-26,282330,BGF리테일,미묘한 차이 BGF리테일(282330) 미묘한 차이 미묘한 차이,145000,매수,남성현,IBK투자증권,114000.0,123400.0,0.0825,0.3518,-0.2693,0.851,0,0.2719,0.851,0.851,
646013,2026-01-26,229640,LS에코에너지,희토류 탈중국화 밸류체인 구축 본격화로 성장성 부각 LS에코에너지(229640) 희토류 탈중국화 밸류체인 구축 본격화로 성장성 부각 희토류 탈중국화 밸류체인 구축 본격화로 성장성 부각,47000,Buy,"이상헌,장호",iM증권,40250.0,46550.0,0.1565,0.3518,-0.1952,0.9904,0,0.1677,0.9904,0.9904,
646012,2026-01-26,000880,한화,인적분할 효과 단기적 But 개정상법 수혜 한화(000880) 인적분할 효과 단기적 But 개정상법 수혜 인적분할 효과 단기적 But 개정상법 수혜,138000,Buy,"이상헌,장호",iM증권,114700.0,96000.0,-0.163,0.3518,-0.5148,0.6957,0,0.2031,0.6957,0.6957,
646011,2026-01-26,000150,두산,AI 수요 지속적인 증가 및 개정상법 수혜 두산(000150) AI 수요 지속적인 증가 및 개정상법 수혜 AI 수요 지속적인 증가 및 개정상법 수혜,1200000,Buy,"이상현,장호",iM증권,890000.0,1191000.0,0.3382,0.3518,-0.0136,0.9925,0,0.3483,0.9925,0.9925,
646010,2026-01-26,178920,PI첨단소재,"스마트폰 고객사 영향, 북미 우호적 vs 중국 비우호적 PI첨단소재(178920) 스마트폰 고객사 영향, 북미 우호적 vs 중국 비우호적 스마트폰 고객사 영향, 북미 우호적 vs 중국 비우호적",22000,Buy,"이상헌,장호",iM증권,16540.0,18320.0,0.1076,0.3518,-0.2441,0.8327,0,0.3301,0.8327,0.8327,
