pair_id,label,company,code,date,target,opinion,analyst,broker,acc365,gap_days,acc_diff,idx,title
59,lo,현대해상,001450,2025-05-15,25000,중립,설용진,SK증권,0.666,0,0.315,641137,CSM 확대 긍정적이나 여전히 제도 개선 필요 현대해상(001450) CSM 확대 긍정적이나 여전히 제도 개선 필요 CSM 확대 긍정적이나 여전
60,hi,JB금융지주,175330,2024-04-23,16000,매수,설용진,SK증권,0.8906,0,0.311,630234,견조한 경상 이익 시현. 건전성 우려는 상존 JB금융지주(175330) 견조한 경상 이익 시현. 건전성 우려는 상존 견조한 경상 이익 시현. 건
60,lo,JB금융지주,175330,2024-04-23,12500,Hold,전배승,이베스트증권,0.58,0,0.311,630244,지방은행 최초 분기배당 실시 JB금융지주(175330) 지방은행 최초 분기배당 실시 지방은행 최초 분기배당 실시
61,hi,한화생명,088350,2024-02-26,2500,Hold,정태준,유안타증권,0.962,4,0.307,628422,"유감스러운 주주환원과 실적 한화생명(088350) 유감스러운 주주환원과 실적 투자의견 HOLD로 하향, 목표주가 2,500원으로 하향"
61,lo,한화생명,088350,2024-02-22,4000,Buy,조아해,메리츠증권,0.655,4,0.307,628328,4Q23 Review: 가시성 제고를 향해 한화생명(088350) 4Q23 Review: 가시성 제고를 향해 4Q23 당기순이익 384억원: 컨
62,hi,롯데쇼핑,023530,2025-05-12,110000,Buy,이진협,한화투자증권,0.6209,0,0.306,641028,1Q25 Review : 자이언츠도 쇼핑도 잘해요 롯데쇼핑(023530) 1Q25 Review : 자이언츠도 쇼핑도 잘해요 1Q25 Review
62,lo,롯데쇼핑,023530,2025-05-12,90000,Buy,유정현,대신증권,0.3144,0,0.306,640985,"실적 서프라이즈 기록, 현저히 낮은 PBR 지표의 re-rating 가능성 확대 롯데쇼핑(023530) 실적 서프라이즈 기록, 현저히 낮은 PB"
63,hi,롯데쇼핑,023530,2025-05-12,110000,Buy,이진협,한화투자증권,0.6209,0,0.306,641028,1Q25 Review : 자이언츠도 쇼핑도 잘해요 롯데쇼핑(023530) 1Q25 Review : 자이언츠도 쇼핑도 잘해요 1Q25 Review
63,lo,롯데쇼핑,023530,2025-05-12,90000,Buy,오린아,LS증권,0.3144,0,0.306,640950,1Q25 Review: 좋아서 반가운 실적 롯데쇼핑(023530) 1Q25 Review: 좋아서 반가운 실적 1Q25 Review: 좋아서 반가
64,hi,호텔신라,008770,2025-04-28,50000,Buy,유정현,대신증권,0.612,0,0.305,640723,"시내점 수익성 개선, 면세점 업황 최악 상황 지나… 호텔신라(008770) 시내점 수익성 개선, 면세점 업황 최악 상황 지나… 시내점 수익성 개"
64,lo,호텔신라,008770,2025-04-28,41000,Hold,이진협,한화투자증권,0.3073,0,0.305,640757,"1Q25 Review : 수익성은 반등, 업황 회복은 아직 호텔신라(008770) 1Q25 Review : 수익성은 반등, 업황 회복은 아직 1"
65,hi,현대차,005380,2025-01-24,380000,Buy,이현수,유안타증권,0.6579,0,0.303,638497,숫자로는 충분히 증명했던 '24년 현대차(005380) 숫자로는 충분히 증명했던 '24년 숫자로는 충분히 증명했던 '24년
65,lo,현대차,005380,2025-01-24,310000,Buy,"김성래,권지우",한화투자증권,0.3548,0,0.303,638505,[4Q24 Review] 대외 불확실성과 고비용 구조 해소가 관건 현대차(005380) [4Q24 Review] 대외 불확실성과 고비용 구조 해
66,hi,현대차,005380,2025-01-24,380000,Buy,이현수,유안타증권,0.6579,0,0.303,638497,숫자로는 충분히 증명했던 '24년 현대차(005380) 숫자로는 충분히 증명했던 '24년 숫자로는 충분히 증명했던 '24년
66,lo,현대차,005380,2025-01-24,310000,Buy,김귀연,대신증권,0.3548,0,0.303,638473,"현대차를 사야하는 이유 : 팰리세이드, GM, BuyOn! 현대차(005380) 현대차를 사야하는 이유 : 팰리세이드, GM, BuyOn! 현대"
67,hi,넷마블,251270,2024-05-10,51000,Hold,이효진,메리츠증권,0.9902,0,0.303,630960,"나혼렙 성공적 런칭, 그 후 넷마블(251270) 나혼렙 성공적 런칭, 그 후 마케팅 비용 2분기로 이연된 점 제외하면 무난했던 1분기"
