label,rank,score,company,code,subtitle,date,opinion,analyst,broker,target_price,price_then,pid
good,81,40,SK하이닉스,000660,"단기 과매도 국면, 그러나 수요 둔화 지속되며 반등 제한적",2026-07-29,보유,이민희,BNK투자증권,"1,480,000","1,718,000",837361
good,82,40,LG생활건강,051900,"북미 성장 가속화, 닥터그루트가 견인 중",2026-06-08,보유,허제나,DB증권,"250,000","287,000",823835
good,83,40,LG이노텍,011070,최근 높아진 기대치마저 상회할 전망,2026-04-01,매수유지,"고의영,박정하",iM증권,"385,000","514,000",817582
good,84,40,LG이노텍,011070,1Q26 Preview: 비수기를 압도하는 실적,2026-04-01,매수유지,박형우,SK증권,"385,000","514,000",817578
good,85,40,테스,095610,투자 사이클은 이제 시작,2026-02-09,매수,김동관,메리츠증권,"85,000","130,000",814760
good,86,40,SK하이닉스,000660,NVIDIA의 ICMS 도입 수혜,2026-02-04,매수유지,박유악,키움증권,"1,100,000","1,718,000",814143
good,87,40,티에스이,131290,Probe Card 고성장 진행 중,2026-02-04,매수유지,정홍식,LS증권,"110,000","186,600",814127
good,88,39,주성엔지니어링,036930,1Q26 Preview: 조금만 멀리 보자,2026-04-17,매수유지,"채민숙,김연준",한국투자증권,"84,000","124,500",819053
good,89,39,삼성전기,009150,Split to Scale 결실의 주인,2026-04-02,매수,황지현,NH투자증권,"600,000","1,142,000",817719
good,90,38,삼성전기,009150,새로운 전기를 맞이하다 ① MLCC 판가 인상 시나리오 ② PKG 리레이팅,2026-03-03,매수유지,"고의영,박정하",iM증권,"600,000","1,142,000",816291
good,91,38,대우건설,047040,4Q Review; 안정될 실적과 확장된 파이프라인,2026-02-19,매수,허재준,삼성증권,"9,200","12,780",815733
good,92,38,SK,034730,지속적인 ROE 개선,2026-02-04,매수유지,박건영,KB증권,"390,000","557,000",814153
good,93,37,삼성생명,032830,가능성에 대한 막연한 의존,2026-03-09,보유,김도하,한화투자증권,"230,000","311,500",816505
good,94,37,삼성생명,032830,4Q review : 장부가치 지속 증가,2026-02-23,매수,정민기,삼성증권,"253,000","311,500",815839
good,95,36,삼성전기,009150,"비싸 보이지만, 어디까지 좋아질지가 관건",2026-05-04,매수유지,이민희,BNK투자증권,"980,000","1,142,000",820509
good,96,36,주성엔지니어링,036930,오랜 투자의 결실을 거둘 때,2026-02-12,매수유지,"채민숙,김연준",한국투자증권,"70,000","124,500",815334
good,97,35,금호건설,002990,공공분양 증가의 수혜 지속 예상,2026-06-16,매수,신동현,현대차증권,"5,700","9,110",824315
good,98,35,금호건설,002990,"사실 중동, 원전 모두 관련 있음",2026-05-19,매수유지,신대현,키움증권,"5,600","9,110",822708
good,99,35,삼성전기,009150,제한적인 공급 내 수요 확장세 지속,2026-04-17,매수유지,김민경,하나증권,"810,000","1,142,000",819012
good,100,34,삼성전기,009150,차원이 다른 도약,2026-04-09,매수유지,"오강호,서지범",신한투자증권,"700,000","1,142,000",818232
good,101,34,LG전자,066570,"가전과 전장, 실적 개선 견인",2026-04-08,매수유지,"김동원,강다현",KB증권,"130,000","162,100",818052
good,102,34,SK스퀘어,402340,[4Q25 Review] 하나만 낳아 잘 키우자,2026-02-25,매수유지,김회재,대신증권,"760,000","1,038,000",816064
good,103,34,금호건설,002990,4Q25 Review: 원가율 지속 하락,2026-02-06,매수,신동현,현대차증권,"5,700","9,110",814548
bad,1,-3835,미래에셋증권,006800,그 이후의 투자목적자산 성과 중요,2026-05-13,보유,김지원,다올투자증권,"73,000","34,550",821963
bad,2,-1147,RFHIC,218410,내러티브와 펀더멘털의 조화,2026-03-25,매수유지,김아람,신한투자증권,"89,000","42,700",817319
bad,3,-1105,미래에셋증권,006800,큰 폭의 이익 증가와 자사주 소각 가능성 긍정적이나 높은 Valuation은 부담,2026-04-09,보유,김인,BNK투자증권,"68,000","34,550",818245
bad,4,-1070,한화생명,088350,1Q review : 연결 대상 회사 이익 기여도 확대에 주목,2026-05-14,보유,정민기,삼성증권,"5,500","4,420",822210
bad,5,-905,대덕전자,353200,Top Picks,2026-05-26,매수,김민경,하나증권,"170,000","96,800",823244
bad,6,-567,미래에셋증권,006800,1Q review : 적극적 성장동력 확보 움직임,2026-05-12,보유,정민기,삼성증권,"75,000","34,550",821844
bad,7,-526,에코프로비엠,247540,일회성 이익으로 선방,2026-02-06,단기매수,"이진명,김명주",신한투자증권,"200,000","103,500",814470
bad,8,-348,미래에셋증권,006800,원래 명품은 비싸다,2026-05-13,단기매수,임희연,신한투자증권,"74,000","34,550",821911
bad,9,-342,펄어비스,263750,"붉은사막 흥행, 차기작 공백에 유의",2026-03-23,보유,오동환,삼성증권,"42,000","33,200",817138
bad,10,-330,한국전력공사,015760,속도 터지고 등도 터진다,2026-05-07,중립,"유재선,성무규",하나증권,"45,000","34,800",821120
bad,11,-330,NH투자증권,005940,4Q25 NDR 후기: 시작이 좋다,2026-02-19,매수,고연수,하나증권,"37,000","28,500",815671
bad,12,-329,한화엔진,082740,"1Q26P Review: 수익성 개선은 가속력이 붙었으며, D.C 기대감 시작",2026-04-27,매수,배기연,메리츠증권,"90,000","39,050",819789
bad,13,-322,OCI홀딩스,010060,지나간 실적보다 잠재력에 주목할 때,2026-04-24,매수유지,조재원,키움증권,"390,000","190,300",819601
bad,14,-301,에코프로비엠,247540,"1Q26 Preview : 유럽향 수요 견조, 속도는 점진적",2026-04-02,보유,유민기,상상인증권,"200,000","103,500",817712
bad,15,-299,이마트,139480,난 3년 후를 더욱 주목한다,2026-05-14,매수유지,남성현,IBK투자증권,"120,000","79,800",822049
bad,16,-299,리브스메드,491000,한국형 인튜이티브 서지컬,2026-02-19,매수,"허성규,이채윤",신한투자증권,"87,000","37,450",815717
bad,17,-290,한화솔루션,009830,유상증자 결정,2026-03-27,보유,한승재,DB증권,"36,000","25,500",817391
bad,18,-266,대우건설,047040,원전으로 여는 다음 챕터,2026-06-16,매수,이혜진,대신증권,"28,000","12,780",824292
